#Tail	Head	PosReg	NegReg	ID
http://pathwaycommons.org/pc12/Protein_02a822c22a1eb90fff1e01fe79416bc5	http://pathwaycommons.org/pc12/Protein_011d17b050f7cf6d8543393fe77421ab	http://pathwaycommons.org/pc12/Protein_ac1ea5a0da52749ee55d5af00c28650f	None	http://pathwaycommons.org/pc12/BiochemicalReaction_1b8f5c9ffdb13f7f8f1e9849532236dd
None	http://pathwaycommons.org/pc12/Pathway_ed7d294c812cf8ec8961db6d9746b63e	http://pathwaycommons.org/pc12/Protein_b104029f6380c90a4ab1aacfb642754d	None	new_http://pathwaycommons.org/pc12/Control_0fe96f9360b5cd599ed3589d1377382d
None	http://pathwaycommons.org/pc12/Pathway_92202701154eb866466bcbdef9d2651e	http://pathwaycommons.org/pc12/Protein_ac1ea5a0da52749ee55d5af00c28650f	None	new_http://pathwaycommons.org/pc12/Control_071c6497719af2ab38b231d9fc0643a0
http://pathwaycommons.org/pc12/Complex_a220ce78521bec43a3cd018a57dba1ff	http://pathwaycommons.org/pc12/Complex_a220ce78521bec43a3cd018a57dba1ff	None	http://pathwaycommons.org/pc12/Protein_460cc045012908c94df9e65d6e0ffb1a	http://pathwaycommons.org/pc12/BiochemicalReaction_4b23d15b6317a3f286f1c4df011fe5d8
http://pathwaycommons.org/pc12/Protein_059b4da68c12271f9c4a77e5cd70cb2b	http://pathwaycommons.org/pc12/Protein_14d4f2a71bcf1ad98cd806f1811842ae	http://pathwaycommons.org/pc12/Protein_ac1ea5a0da52749ee55d5af00c28650f	None	http://pathwaycommons.org/pc12/BiochemicalReaction_969cebb173ee27dce34d38e093e7edd4
http://pathwaycommons.org/pc12/Protein_d7edf54b535a3219c6364ed03f495daa	http://pathwaycommons.org/pc12/Protein_b6a558969f7054743c8fdc5a15298b21	http://pathwaycommons.org/pc12/Protein_ac1ea5a0da52749ee55d5af00c28650f	None	http://pathwaycommons.org/pc12/BiochemicalReaction_80278c1d1ab8903620b02f0de3f913bc
http://pathwaycommons.org/pc12/Protein_faa209e888ab84bbc423ede17a9b17f5	http://pathwaycommons.org/pc12/Protein_5c88359d3a5b81be643e54ab6d75af25	http://pathwaycommons.org/pc12/Complex_b7c88035cc10be85730a4c9b2f525d6f	None	http://pathwaycommons.org/pc12/BiochemicalReaction_5286d21d5b6bf852ba1e86d945912480
None	http://pathwaycommons.org/pc12/Pathway_33dc274ecc925a71a2e6c5bc72cc7c43	http://pathwaycommons.org/pc12/Protein_51c9e5506ed8f637c7075d97be2adcf4	None	new_http://pathwaycommons.org/pc12/Control_6c3be5b0ec187c9859d2d862354b0281
None	http://pathwaycommons.org/pc12/Pathway_e0efad63d881a734375cc8fd8cabf157	http://pathwaycommons.org/pc12/Protein_ac1ea5a0da52749ee55d5af00c28650f	None	new_http://pathwaycommons.org/pc12/Control_69b52b5db499522f5c166970dda1e3e2
http://pathwaycommons.org/pc12/Protein_480d818a3ec955bb74a7d802ef3fddf1	http://pathwaycommons.org/pc12/Protein_63b37e5557d4712019a1000b7f4aed80	http://pathwaycommons.org/pc12/Protein_ac1ea5a0da52749ee55d5af00c28650f	http://pathwaycommons.org/pc12/SmallMolecule_796dcb68dff6a2b57efab8b436abc011	http://pathwaycommons.org/pc12/BiochemicalReaction_722f05b4c02638fc8ed98f867ee710a6
None	http://pathwaycommons.org/pc12/Pathway_1da9d34ace83e2a609d8463a619cac03	http://pathwaycommons.org/pc12/Protein_ac1ea5a0da52749ee55d5af00c28650f	None	new_http://pathwaycommons.org/pc12/Control_d2c7f6e96e9ef755a28aeb3fad3694b6
None	http://pathwaycommons.org/pc12/Pathway_2f0ad02b10736606540e8b5b6ec68060	None	http://pathwaycommons.org/pc12/Protein_8495ae13f259be88a1fed49b78747b92	new_http://pathwaycommons.org/pc12/Control_f8ef8238774f9520b79d2527f75192e8
None	http://pathwaycommons.org/pc12/Pathway_2f0ad02b10736606540e8b5b6ec68060	None	http://pathwaycommons.org/pc12/Protein_e63ebfa5cbb9e957d17d2fa0afcf69fa	new_http://pathwaycommons.org/pc12/Control_d4292179769af4916df32f3da0b4fcb4
http://pathwaycommons.org/pc12/Protein_7647cc2ee05175a781c280d5d8a4a324	http://pathwaycommons.org/pc12/Protein_b104029f6380c90a4ab1aacfb642754d	http://pathwaycommons.org/pc12/Protein_ac1ea5a0da52749ee55d5af00c28650f	None	http://pathwaycommons.org/pc12/BiochemicalReaction_f19c9d41df12a9ca7fe4c0de7dd2cc8a
http://pathwaycommons.org/pc12/Complex_a220ce78521bec43a3cd018a57dba1ff;http://pathwaycommons.org/pc12/Protein_7fecb298b6b36428661fd075e53e2755;http://pathwaycommons.org/pc12/Protein_c5f8358d8c8cf07be335e662df115da4	http://pathwaycommons.org/pc12/Complex_5ae286fe06ead7cde4dfb61fd434a2b5;http://pathwaycommons.org/pc12/Complex_a220ce78521bec43a3cd018a57dba1ff;http://pathwaycommons.org/pc12/Complex_d5beefe80c8e9d60cf348860f4fabdb5	http://pathwaycommons.org/pc12/Pathway_c063b90d393265563ad56e3f2441bd4c	None	http://pathwaycommons.org/pc12/ComplexAssembly_48ec77864a0d0ed21a2d7711bd551ff4
http://pathwaycommons.org/pc12/Protein_65acc7b23c9e9ba9cf8c460e9897cf81;http://pathwaycommons.org/pc12/Protein_8629709e00836f5386d9a79d60ca0494	http://pathwaycommons.org/pc12/Complex_e001251701a985f55a288c6d3e563633	None	None	http://pathwaycommons.org/pc12/ComplexAssembly_e842f325b4e5c77ae110c615a5afb9ee
http://pathwaycommons.org/pc12/Protein_c84639e443b72631e139fdd17ea90ba7	http://pathwaycommons.org/pc12/Protein_51c9e5506ed8f637c7075d97be2adcf4	http://pathwaycommons.org/pc12/Protein_b41b9858be983970c628750d88510dbf;http://pathwaycommons.org/pc12/Protein_ac1ea5a0da52749ee55d5af00c28650f	None	http://pathwaycommons.org/pc12/BiochemicalReaction_518a0a381f9d7297f32719806132c417
http://pathwaycommons.org/pc12/Protein_385e9dbe0719b1fadf579247a45e4936	http://pathwaycommons.org/pc12/Protein_e2c7c2a8c2229cff16a8c93cf526e946	http://pathwaycommons.org/pc12/Protein_ac1ea5a0da52749ee55d5af00c28650f	None	http://pathwaycommons.org/pc12/BiochemicalReaction_777ac77d09dff32ef96883a7e08612a1
http://pathwaycommons.org/pc12/Complex_5ae286fe06ead7cde4dfb61fd434a2b5;http://pathwaycommons.org/pc12/Complex_d5beefe80c8e9d60cf348860f4fabdb5	http://pathwaycommons.org/pc12/Protein_2117322ad79135e904efbd78c55f274f;http://pathwaycommons.org/pc12/Protein_ac1ea5a0da52749ee55d5af00c28650f	http://pathwaycommons.org/pc12/Complex_a220ce78521bec43a3cd018a57dba1ff	None	http://pathwaycommons.org/pc12/ComplexAssembly_d84bff3f4669e76f198cb00b887a9dfd
http://pathwaycommons.org/pc12/Protein_ea4b3ccb511a22c546584134064e994d	http://pathwaycommons.org/pc12/Protein_e63ebfa5cbb9e957d17d2fa0afcf69fa	http://pathwaycommons.org/pc12/Protein_ac1ea5a0da52749ee55d5af00c28650f	None	http://pathwaycommons.org/pc12/BiochemicalReaction_c5d792c5f2758d93f332930e34ee27c6
http://pathwaycommons.org/pc12/Complex_e001251701a985f55a288c6d3e563633	http://pathwaycommons.org/pc12/Complex_a220ce78521bec43a3cd018a57dba1ff;http://pathwaycommons.org/pc12/Protein_460cc045012908c94df9e65d6e0ffb1a	http://pathwaycommons.org/pc12/Protein_18f79db78f1b79f71c29e0715bd3e161	None	http://pathwaycommons.org/pc12/ComplexAssembly_44162dc17a4ab30da00cfd7a75b06fd2
None	http://pathwaycommons.org/pc12/Pathway_2f0ad02b10736606540e8b5b6ec68060	None	http://pathwaycommons.org/pc12/Protein_d3462a7815b401dd13ec50eddeefeb6e	new_http://pathwaycommons.org/pc12/Control_ddab59bf3aad3c3788244326970f6f07
None	http://pathwaycommons.org/pc12/SmallMolecule_28459e0ee73bb3820a1ea2b24a806a2d	http://pathwaycommons.org/pc12/SmallMolecule_5d2a4f66dae8dc09e061d8d94cffb017	http://pathwaycommons.org/pc12/Protein_8495ae13f259be88a1fed49b78747b92	http://pathwaycommons.org/pc12/BiochemicalReaction_2335e69ff00daee82c6a0c657e5ac3a2
http://pathwaycommons.org/pc12/Protein_c3196e112da14807febad34a2d74b433	http://pathwaycommons.org/pc12/Protein_8c2c5b908af2d6df8a59e627b182b973	http://pathwaycommons.org/pc12/Protein_ac1ea5a0da52749ee55d5af00c28650f	None	http://pathwaycommons.org/pc12/BiochemicalReaction_7535995130d91a2d9880e22a7011a760
None	http://pathwaycommons.org/pc12/Pathway_e1badc2ebe51f847ed05339b81c0110a	http://pathwaycommons.org/pc12/SmallMolecule_18c83c9f0757f5d9354f07643f5043b5	None	new_http://pathwaycommons.org/pc12/Control_397ab524f2a32797a2eee2a8280584da
http://pathwaycommons.org/pc12/SmallMolecule_f895b0dafd57aeb9ae8ad75ee605acab	http://pathwaycommons.org/pc12/SmallMolecule_18c83c9f0757f5d9354f07643f5043b5	http://pathwaycommons.org/pc12/SmallMolecule_49bbaa2d3ae186b8d243f0319d87b43b;http://pathwaycommons.org/pc12/Protein_2117322ad79135e904efbd78c55f274f;http://pathwaycommons.org/pc12/Protein_a7ac127c7fb698411153f8bde2f546f6	None	http://pathwaycommons.org/pc12/BiochemicalReaction_fbf2eff50e827e9392e42a2eb5f50aa0
http://pathwaycommons.org/pc12/Protein_41452e152834aa42ea1a961569c602ad;http://pathwaycommons.org/pc12/Protein_8629709e00836f5386d9a79d60ca0494	http://pathwaycommons.org/pc12/Complex_a220ce78521bec43a3cd018a57dba1ff	None	None	http://pathwaycommons.org/pc12/ComplexAssembly_b9db567bd01aa85fcf1fd13d4a6558fa
http://pathwaycommons.org/pc12/Protein_800faea7226cd8a79fe5e441b0872103	http://pathwaycommons.org/pc12/Protein_47b27ffc6a7102f49b6c62844d073214	http://pathwaycommons.org/pc12/Protein_ac1ea5a0da52749ee55d5af00c28650f	None	http://pathwaycommons.org/pc12/BiochemicalReaction_970c4e2dfebd29367466768cef95a5f2
http://pathwaycommons.org/pc12/Protein_65acc7b23c9e9ba9cf8c460e9897cf81	http://pathwaycommons.org/pc12/Protein_41452e152834aa42ea1a961569c602ad;http://pathwaycommons.org/pc12/Protein_460cc045012908c94df9e65d6e0ffb1a	http://pathwaycommons.org/pc12/Protein_18f79db78f1b79f71c29e0715bd3e161	None	http://pathwaycommons.org/pc12/BiochemicalReaction_56de6ef9cb328fff2eb7f5b316e031b2
None	http://pathwaycommons.org/pc12/Pathway_f367ee9222eb5bb2566eb58e4d9f1eb7	None	http://pathwaycommons.org/pc12/Protein_ac1ea5a0da52749ee55d5af00c28650f	new_http://pathwaycommons.org/pc12/Control_dcd27ac6c57304caefb32698537d714f
http://pathwaycommons.org/pc12/Protein_93b0d7160ef18c7cf7274ca77b9fea14	http://pathwaycommons.org/pc12/Complex_b7c88035cc10be85730a4c9b2f525d6f	http://pathwaycommons.org/pc12/Protein_b6a558969f7054743c8fdc5a15298b21;http://pathwaycommons.org/pc12/Protein_ac1ea5a0da52749ee55d5af00c28650f	None	http://pathwaycommons.org/pc12/ComplexAssembly_855a7542f870b737611b57dd5ab5d251
None	http://pathwaycommons.org/pc12/Pathway_e0efad63d881a734375cc8fd8cabf157	http://pathwaycommons.org/pc12/Protein_ac1ea5a0da52749ee55d5af00c28650f	None	new_http://pathwaycommons.org/pc12/Control_d928557134b38ae10dd71bec60bfe06e
None	http://pathwaycommons.org/pc12/Protein_366d78052843d8f73ab970258d701182	http://pathwaycommons.org/pc12/SmallMolecule_5d2a4f66dae8dc09e061d8d94cffb017	http://pathwaycommons.org/pc12/Protein_8495ae13f259be88a1fed49b78747b92	http://pathwaycommons.org/pc12/BiochemicalReaction_903a85126db9ed552a78d705ba02c1a9
http://pathwaycommons.org/pc12/Protein_5e3f89519e2334cbd9017fcec89a1e5d	http://pathwaycommons.org/pc12/Protein_d3462a7815b401dd13ec50eddeefeb6e	http://pathwaycommons.org/pc12/Protein_ac1ea5a0da52749ee55d5af00c28650f	None	http://pathwaycommons.org/pc12/BiochemicalReaction_b5457aef7389abfe6f28c6bbba200f03
None	http://pathwaycommons.org/pc12/Pathway_e0efad63d881a734375cc8fd8cabf157	http://pathwaycommons.org/pc12/Protein_ac1ea5a0da52749ee55d5af00c28650f	None	new_http://pathwaycommons.org/pc12/Control_b33b4ff01c8fc1577aff6fe3d226034d
