#hypernode	nodes
http://pathwaycommons.org/pc12/Complex_eb073cbeed597e7a97ec9e4d4645ac23	http://pathwaycommons.org/pc12/Protein_ed10a038daf55dfec2a8509b22d01115;http://pathwaycommons.org/pc12/Protein_cca127ae21203cd3d0d081687d0060e5
http://pathwaycommons.org/pc12/Complex_398435b4ca4edea3708e799379055d61	http://pathwaycommons.org/pc12/Protein_e6ec92f4c2da69504e27658a960fffae;http://pathwaycommons.org/pc12/Protein_46ee72e65e6ae1bbb71fe9d84ad7e3e2
http://pathwaycommons.org/pc12/Complex_674688980b81306dfff5f2ee5a1b16ef	http://pathwaycommons.org/pc12/Protein_80c8cbbdc4033a0b133dafa606736b6c;http://pathwaycommons.org/pc12/Protein_4d0bc1ac10e209f0f724ffc21af882bf;http://pathwaycommons.org/pc12/Protein_2e443f454d3b0b7b077fdbeda0f75e51;http://pathwaycommons.org/pc12/Protein_7969fa029e64c29751133e080d84c5d4;http://pathwaycommons.org/pc12/Protein_6e85e41ceb217f2cc2bfd3d348ce1805
http://pathwaycommons.org/pc12/Complex_154152643f123eabe69fb0a0977177da	http://pathwaycommons.org/pc12/Protein_b165c3794b606bc173a32b18c12b16bb;http://pathwaycommons.org/pc12/Protein_b3bfbd72d8609591355de50c34aed639
http://pathwaycommons.org/pc12/Complex_35cf73f2e0d627deb59d2fd116099340	http://pathwaycommons.org/pc12/Protein_07f7eb74d6d49ca8268ca2085a961209;http://pathwaycommons.org/pc12/Protein_30daf1c04df5d18288476afce89a4d3c;http://pathwaycommons.org/pc12/Protein_0c2e7017f5e842d582e894a80c7e2992
http://pathwaycommons.org/pc12/Complex_0d8d4cbb61c8ec15b3c8a260f9520949	http://pathwaycommons.org/pc12/Protein_c0c7967fead219f5a019802abb7f2294;http://pathwaycommons.org/pc12/Protein_481fd9fedd4e8f9f4b37cb976b474c10
http://pathwaycommons.org/pc12/Complex_8ea311d275482cfceb5cdb5a4d546faf	http://pathwaycommons.org/pc12/Protein_80c8cbbdc4033a0b133dafa606736b6c;http://pathwaycommons.org/pc12/Protein_4d0bc1ac10e209f0f724ffc21af882bf;http://pathwaycommons.org/pc12/Protein_2e443f454d3b0b7b077fdbeda0f75e51;http://pathwaycommons.org/pc12/Protein_6e85e41ceb217f2cc2bfd3d348ce1805
http://pathwaycommons.org/pc12/Complex_4dc7b3f3bb6b3915ddc9dc160309a273	http://pathwaycommons.org/pc12/Protein_9a3dea8365b019bcdc76a13a8ef20bae;http://pathwaycommons.org/pc12/Protein_177d8c5b4117075fa46b561c4b6f951c;http://pathwaycommons.org/pc12/Protein_e9e784b0f90d12f18c154dce7f908817;http://pathwaycommons.org/pc12/Protein_fc2abf1f543d769fa31aac227895554a;http://pathwaycommons.org/pc12/Protein_df167e39fb4c479b21085f874e9dd727;http://pathwaycommons.org/pc12/Protein_4d0bc1ac10e209f0f724ffc21af882bf;http://pathwaycommons.org/pc12/Protein_2e443f454d3b0b7b077fdbeda0f75e51;http://pathwaycommons.org/pc12/Protein_1b1eff1a20f84caf5394d06ecb1676dd;http://pathwaycommons.org/pc12/Protein_039205c3afb3f439d4f94f14a6e7802c;http://pathwaycommons.org/pc12/Protein_6e85e41ceb217f2cc2bfd3d348ce1805
http://pathwaycommons.org/pc12/Complex_9a84a9078f1801455ef23ebe3f192872	http://pathwaycommons.org/pc12/Protein_c0c7967fead219f5a019802abb7f2294;http://pathwaycommons.org/pc12/Protein_481fd9fedd4e8f9f4b37cb976b474c10;http://pathwaycommons.org/pc12/Protein_32bdd4dd430ea3f4747315d0da2f90c5
http://pathwaycommons.org/pc12/Complex_b94e1eb2365d370cf096dd49b698b234	http://pathwaycommons.org/pc12/Protein_90a8560c1ed81c0465683b0f5164a1ce;http://pathwaycommons.org/pc12/Protein_4133aad4013f6c5dd7d54282fede8b04;http://pathwaycommons.org/pc12/Protein_0c0d5a141fe1f323fa400a7643d08e42
http://pathwaycommons.org/pc12/Complex_7983ea97037db1a1fff2ca5407c4fa66	http://pathwaycommons.org/pc12/Protein_07f7eb74d6d49ca8268ca2085a961209;http://pathwaycommons.org/pc12/Protein_30daf1c04df5d18288476afce89a4d3c;http://pathwaycommons.org/pc12/Protein_0c2e7017f5e842d582e894a80c7e2992
http://pathwaycommons.org/pc12/Complex_4429b5685a5d0c30b249cf3de61ad708	http://pathwaycommons.org/pc12/Protein_4d0bc1ac10e209f0f724ffc21af882bf;http://pathwaycommons.org/pc12/Protein_2e443f454d3b0b7b077fdbeda0f75e51;http://pathwaycommons.org/pc12/Protein_6e85e41ceb217f2cc2bfd3d348ce1805
